
2, Term => Term:STAR:Exp, Expr, Term, 0.0627306273063
2, Term => Term:STAR:Exp, Factor, Expr, 0.0769230769231
2, Term => Term:STAR:Exp, Factor, Term, 0.0645161290323
2, Term => Term:STAR:Exp, Factor, Value, 0.0322580645161
2, Term => Term:STAR:Exp, Log, Expr, 0.136363636364
2, Term => Term:STAR:Exp, Matrix, Vector, 0.111111111111
2, Term => Term:STAR:Exp, None, Expr, 0.0710059171598
2, Term => Term:STAR:Exp, PostUnary, Factor, 0.0740740740741
2, Term => Term:STAR:Exp, Term, Exp, 0.0333333333333
2, Term => Term:STAR:Exp, Term, Expr, 0.0865051903114
2, Term => Term:STAR:Exp, Term, Term, 0.069387755102
2, Term => Term:STAR:Exp, Value, Expr, 0.075
2, Term => Term:STAR:Exp, Value, Log, 0.166666666667
2, Term => Term:STAR:Exp, Value, Term, 0.166666666667
2, Term => Term:STAR:Exp, Vector, Expr, 0.0849772382398
2, Unary => DASH:PostUnary, Expr, Exp, 0.0222222222222
2, Unary => DASH:PostUnary, Factor, Exp, 0.0117647058824
2, Unary => DASH:PostUnary, Log, Exp, 0.333333333333
2, Unary => DASH:PostUnary, Term, Exp, 0.00608187134503
2, Unary => DASH:PostUnary, Value, Exp, 0.0357142857143
2, Unary => PostUnary, Exp, Exp, 1.0
2, Unary => PostUnary, Expr, Exp, 0.977777777778
2, Unary => PostUnary, Expr, Expr, 1.0
2, Unary => PostUnary, Expr, Term, 1.0
2, Unary => PostUnary, Factor, Exp, 0.988235294118
2, Unary => PostUnary, Factor, Expr, 1.0
2, Unary => PostUnary, Factor, Term, 1.0
2, Unary => PostUnary, Factor, Value, 1.0
2, Unary => PostUnary, Log, Exp, 0.666666666667
2, Unary => PostUnary, Matrix, Vector, 1.0
2, Unary => PostUnary, PostUnary, Factor, 1.0
2, Unary => PostUnary, Term, Exp, 0.993918128655
2, Unary => PostUnary, Value, Exp, 0.964285714286
2, Unary => PostUnary, Value, Log, 1.0
2, Unary => PostUnary, Value, Vector, 1.0
2, Unary => PostUnary, Vector, Exp, 1.0
2, Unary => PostUnary, Vector, Expr, 1.0
2, Unary => PostUnary, Vector, Vector, 1.0
2, Value => Atom, PostUnary, Factor, 0.86832823889
2, Value => LANGLE:Vector:RANGLE, PostUnary, Factor, 0.0648953679755
2, Value => Log, PostUnary, Factor, 0.00752410063485
2, Value => LSQUARE:Matrix:RSQUARE, PostUnary, Factor, 0.0592522924994
2, Vector => Expr, Exp, Expr, 1.0
2, Vector => Expr, Expr, Vector, 0.5
2, Vector => Expr, Exp, Vector, 1.0
2, Vector => Expr, Factor, Value, 0.347826086957
2, Vector => Expr, Matrix, Vector, 0.302325581395
2, Vector => Expr, Term, Exp, 0.5
2, Vector => Expr, Value, Matrix, 0.323886639676
2, Vector => Expr, Value, Vector, 0.383333333333
2, Vector => Expr, Vector, Vector, 0.307692307692
2, Vector => Vector:COMMA:Expr, Expr, Vector, 0.5
2, Vector => Vector:COMMA:Expr, Factor, Value, 0.652173913043
2, Vector => Vector:COMMA:Expr, Log, Expr, 1.0
2, Vector => Vector:COMMA:Expr, Matrix, Matrix, 1.0
2, Vector => Vector:COMMA:Expr, Matrix, Vector, 0.697674418605
2, Vector => Vector:COMMA:Expr, Term, Exp, 0.5
2, Vector => Vector:COMMA:Expr, Term, Expr, 1.0
2, Vector => Vector:COMMA:Expr, Value, Matrix, 0.676113360324
2, Vector => Vector:COMMA:Expr, Value, Vector, 0.616666666667
2, Vector => Vector:COMMA:Expr, Vector, Vector, 0.692307692308
